"# Raw surface EMG excerpt, Santuz et al. 2021, CC BY 4.0"
# source,https://doi.org/10.5281/zenodo.5171823
# trial,ID0001_M_YOUNG_TW_01
# sampling_rate_hz,1000
# units,millivolt
# touchdown_s,0.6990;1.7410;2.7830;3.8240;4.8830;5.9240;6.9580;7.9990
# regenerate,python scripts/extract_emg_demo.py
time_s,ta_mv,gm_mv,rf_mv
0.37200,-0.026898,0.005967,-0.004556
0.37300,-0.027546,0.007910,-0.009251
0.37400,-0.020098,0.005481,-0.003585
0.37500,-0.022527,0.014386,0.004024
0.37600,-0.015403,0.011957,0.005158
0.37700,0.025718,-0.004394,-0.001156
0.37800,0.060850,0.013252,-0.007470
0.37900,0.061012,0.005158,-0.008766
0.38000,0.076392,0.021347,0.000463
0.38100,0.055669,0.010662,0.001920
0.38200,0.095658,0.004996,-0.004071
0.38300,0.084487,0.009367,0.009205
0.38400,0.026852,0.007100,-0.004233
0.38500,0.035594,0.005805,0.015033
0.38600,-0.052316,-0.005366,0.004672
0.38700,-0.118370,-0.006823,0.006615
0.38800,0.042879,-0.002290,0.010662
0.38900,0.062145,-0.003585,0.017462
0.39000,-0.045030,-0.008927,0.020862
0.39100,-0.057658,-0.008766,0.021185
0.39200,-0.105418,-0.002937,0.009853
0.39300,-0.010708,-0.004880,0.019404
0.39400,-0.010223,0.007100,0.007910
0.39500,-0.024631,0.000139,0.020376
0.39600,0.011957,0.000786,0.007100
0.39700,-0.013299,0.006291,0.014224
0.39800,0.016652,-0.005204,0.007424
0.39900,0.037699,-0.001966,0.006291
0.40000,0.020376,-0.003909,0.019728
0.40100,-0.074172,-0.004718,0.001110
0.40200,-0.112541,-0.007470,0.005481
0.40300,-0.063001,-0.009413,0.002567
0.40400,-0.036612,0.002243,0.002567
0.40500,-0.090362,0.005967,0.015033
0.40600,0.025395,-0.001318,0.014386
0.40700,0.122209,0.008719,0.000786
0.40800,0.035594,0.007586,0.009691
0.40900,-0.011680,0.007424,0.010338
0.41000,-0.162568,0.000624,0.009043
0.41100,-0.047783,-0.000995,0.006291
0.41200,0.075259,-0.005366,0.006291
0.41300,0.053565,-0.010223,0.010014
0.41400,0.120590,-0.007794,-0.000185
0.41500,0.048870,-0.003423,0.011471
0.41600,0.008557,-0.008442,0.003539
0.41700,-0.060573,-0.006499,0.007100
0.41800,-0.012651,-0.012165,-0.008766
0.41900,0.012767,-0.013299,0.007100
0.42000,-0.008766,-0.008604,0.009691
0.42100,-0.008442,-0.011194,0.004348
0.42200,-0.056849,-0.010385,0.005967
0.42300,-0.020584,-0.006013,0.009043
0.42400,-0.008927,-0.010870,0.014709
0.42500,0.005158,-0.009737,0.016166
0.42600,0.015033,-0.013137,-0.001318
0.42700,-0.012489,-0.015403,0.018757
0.42800,-0.008927,-0.013137,0.005158
0.42900,0.005481,-0.009251,0.002243
0.43000,-0.003423,-0.004071,0.007910
0.43100,-0.015889,-0.012975,0.006615
0.43200,-0.002290,-0.014108,0.003700
0.43300,-0.009737,-0.010061,0.002081
0.43400,-0.000995,-0.010061,0.011148
0.43500,0.006453,-0.015080,0.012443
0.43600,0.005319,-0.012327,0.007262
0.43700,-0.015241,-0.013784,0.002405
0.43800,-0.013623,-0.002937,0.010014
0.43900,-0.017994,-0.007470,0.009853
0.44000,-0.011842,-0.017022,0.004996
0.44100,-0.002128,-0.011356,0.002243
0.44200,-0.003261,-0.008927,0.003700
0.44300,-0.001156,-0.016699,0.004024
0.44400,-0.005042,-0.012327,0.003215
0.44500,-0.005366,-0.007956,0.001596
0.44600,-0.004880,-0.015241,0.005158
0.44700,-0.004394,-0.005851,0.006453
0.44800,-0.004556,-0.014594,0.005319
0.44900,0.002243,-0.019127,0.015357
0.45000,-0.008118,-0.012327,0.002567
0.45100,-0.006823,-0.016860,0.001758
0.45200,0.001434,-0.015565,0.003700
0.45300,0.001596,-0.008766,0.011310
0.45400,0.013252,-0.019775,0.000139
0.45500,0.006453,-0.010870,0.004672
0.45600,0.000139,-0.008604,0.009043
0.45700,0.007262,-0.008442,0.004996
0.45800,-0.013784,-0.014108,0.020214
0.45900,-0.022527,-0.014108,-0.007632
0.46000,-0.008442,-0.014432,0.022804
0.46100,-0.011842,-0.019613,0.000948
0.46200,-0.004394,0.000139,0.009367
0.46300,-0.008118,-0.004556,0.004024
0.46400,-0.003423,-0.013299,-0.013946
0.46500,-0.000347,-0.011032,-0.001966
0.46600,-0.001642,-0.020098,-0.012004
0.46700,0.012119,-0.009089,0.003215
0.46800,-0.008280,-0.012651,0.007100
0.46900,-0.007956,-0.013784,-0.005690
0.47000,-0.009413,-0.006499,0.006776
0.47100,-0.004556,-0.011194,0.000948
0.47200,-0.004718,-0.011032,-0.003423
0.47300,0.005481,0.000948,-0.003585
0.47400,-0.001318,-0.007309,-0.000833
0.47500,0.000786,-0.020098,0.024423
0.47600,0.006291,-0.020746,-0.002452
0.47700,-0.002290,-0.004233,0.002891
0.47800,-0.014756,-0.007794,0.005481
0.47900,-0.036774,-0.012813,0.014548
0.48000,-0.021717,-0.016860,0.003377
0.48100,0.004186,-0.014108,0.002567
0.48200,-0.007470,-0.003909,0.022319
0.48300,-0.011518,-0.011518,0.005481
0.48400,-0.008118,-0.007309,-0.001156
